Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,3,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,0.6,Y,,,,,
14405,Power Choice/Pepco Energy Serv,56900,Atlantic City Convention Center,NJ,Atlantic,4,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.5,0.5,0.3,12,2008,,,,Y,,,,,,0.6,Y,,,,,
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,FRESNO,1,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,0.4,Y,,,,,
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,FRESNO,2,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,0.3,Y,,,,,
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,FRESNO,3,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,0.3,Y,,,,,
56113,MMA GDC Power LP,56909,Gap Pacific Distribution Center,CA,FRESNO,4,OP,Solar Photovoltaic,PV,Commercial Non-CHP,4,0.3,0.3,0.3,10,2008,,Y,,,,,,,,0.3,Y,,,,,
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2008,,Y,,,,,,,,0.5,Y,,,,,
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2008,,Y,,,,,,,,0.5,Y,,,,,
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,8,2010,,Y,,,,,,,,0.5,Y,,,,,
56128,SAS Institute Inc,56915,SAS Solar Farm,NC,Wake,4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,8,2010,,Y,,,,,,,,0.5,Y,,,,,
56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,IMPERIAL,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,101.0,101.0,101.0,11,2013,,Y,,,,,,,,129.3,,Y,,,,
56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,IMPERIAL,1A,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,64.6,64.6,64.6,12,2013,,Y,,,,,,,,82.7,,Y,,,,
56167,"Imperial Valley Solar, LLC",56917,"Imperial Valley Solar, LLC",CA,IMPERIAL,1B,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,34.3,34.3,34.3,3,2014,,Y,,,,,,,,43.9,,Y,,,,
56431,SunE U6 Holdings LLC,56922,WWRF Solar Plant,CO,Garfield,EAST,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.4,0.4,2,2009,,Y,N,,,,,,,0.6,Y,,,,,
56431,SunE U6 Holdings LLC,56922,WWRF Solar Plant,CO,Garfield,WEST,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,0.9,0.9,2,2009,,Y,,,,,,,,1.1,Y,,,,,
6452,Florida Power & Light Co,56929,DeSoto Next Generation Solar Energy,FL,DeSoto,1,OP,Solar Photovoltaic,PV,Electric Utility,1,25.0,25.0,25.0,10,2009,,Y,,,,,,,,27.6,Y,,,,,
6452,Florida Power & Light Co,56930,Space Coast Next Gen Solar Energy,FL,Brevard,1,OP,Solar Photovoltaic,PV,Electric Utility,1,10.0,10.0,10.0,4,2010,,,,Y,,,,,,11.5,Y,,,,,
56183,SunE NC Progress 1 LLC,56938,SunEdison LV Sutton Plant Site,NC,NEW HANOVER,NCP1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.2,1.2,1.2,12,2008,,Y,,,,,,,,1.2,Y,,,,,
59399,NRG Solar Blythe,56939,NRG Solar Blythe LLC,CA,Riverside,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,21.0,21.0,21.0,12,2009,,,,Y,,,,,,26.4,,Y,,,,
57036,Copper Mountain 1 LLC,56944,CM10,NV,Clark,PV01,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,10.0,10.0,10.0,12,2008,,,,Y,,,,,,12.4,,Y,,,,
56237,QVC Inc,56966,QVC Inc,NC,Edgecombe,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,12,2008,,Y,,,Y,,,,N,1,Y,,,,,
56284,MF Mesa Lane LLC,56993,MF Mesa Lane LLC,PA,Bucks,MESA,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,3.0,1.5,1.1,11,2008,,,,Y,,,,,,3,Y,,,,,
