Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?
11208,Los Angeles Department of Water & Power,57311,Occidental College Solar Project,CA,Los Angeles,1,OP,PV,Commercial Non-CHP,4,1.0,1.0,1.0,2,2013,,,,Y,,,,,,1.2,Y,,,,,
11208,Los Angeles Department of Water & Power,57313,Metro Support Services Center Solar,CA,Los Angeles,1,OP,PV,Commercial Non-CHP,4,1.2,1.2,1.2,4,2005,,,,Y,,,,,,1.2,Y,,,,,
11208,Los Angeles Department of Water & Power,57314,Los Angeles Harbor College,CA,Los Angeles,1,OP,PV,Commercial Non-CHP,4,1.2,1.2,1.2,10,2010,,,,Y,,,,,,2.2,Y,,,,,
11208,Los Angeles Department of Water & Power,57871,2555 E Olympic Bl,CA,Los Angeles,1,OP,PV,Commercial Non-CHP,4,1.0,1.0,1.0,3,2012,,,,Y,,,,,,1.2,Y,,,,,
11208,Los Angeles Department of Water & Power,58248,Pierce College,CA,Los Angeles,GEN1,OP,PV,Commercial Non-CHP,4,1.9,1.9,1.9,1,2013,,,,Y,,,,,,2.3,Y,,,,,
11208,Los Angeles Department of Water & Power,58253,CBS Television City,CA,Los Angeles,GEN1,OP,PV,Commercial Non-CHP,4,1.6,1.6,1.6,7,2013,,,,Y,,,,,,1.8,Y,,,,,
11427,Massachusetts Wtr RAuth-Deer I,10823,Deer Island Treatment Plant,MA,Suffolk,PV101,OP,PV,Commercial CHP,5,0.1,0.1,0.1,5,2008,,,,Y,,,,,,0.7,Y,,,,,
11804,Massachusetts Electric Co,57265,Dorchester Solar Site,MA,Suffolk,1,OP,PV,Electric Utility,1,1.0,1.0,1.0,1,2012,,,,Y,,,,,,1.3,Y,,,,,
11804,Massachusetts Electric Co,57269,Haverhill Solar Power Project,MA,ESSEX,1,OP,PV,Electric Utility,1,1.0,0.8,0.5,12,2010,,,,Y,,,,,,1,Y,,,,,
11804,Massachusetts Electric Co,57270,NEDC Solar Site,MA,Worcester,1,OP,PV,Electric Utility,1,1.0,0.8,0.5,6,2010,,,,Y,,,,,,1,Y,,,,,
