Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,"Turbines, Inverters, or Hydrokinetic Buoys",Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Cofire Fuels?,Switch Between Oil and Natural Gas?
195,Alabama Power Co,7.0,Gadsden,AL,Etowah,1,Natural Gas Steam Turbine,ST,,S,X,X,,,69.0,0.85,64,64,28,N, , ,OP,X,4.0,1949.0,12,2019,Y,Electric Utility,1.0,B,NG,BIT,WDS,,,,NG,,,,N,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,N,N
195,Alabama Power Co,7.0,Gadsden,AL,Etowah,2,Natural Gas Steam Turbine,ST,,S,X,X,,,69.0,0.85,66,66,28,N, , ,OP,X,7.0,1949.0,12,2019,Y,Electric Utility,1.0,B,NG,BIT,WDS,,,,NG,,,,N,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,N,N
195,Alabama Power Co,8.0,Gorgas,AL,Walker,10,Conventional Steam Coal,ST,,S,X,X,,,788.8,0.85,703,703,600,N, , ,OP,X,10.0,1972.0, , ,N,Electric Utility,1.0,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,,Y,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,8.0,Gorgas,AL,Walker,8,Conventional Steam Coal,ST,,S,X,X,,,187.5,0.85,161,161,90,N, , ,OP,X,5.0,1956.0, , ,N,Electric Utility,1.0,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,8.0,Gorgas,AL,Walker,9,Conventional Steam Coal,ST,,S,X,X,,,190.4,0.85,170,170,90,N, , ,OP,X,6.0,1958.0, , ,N,Electric Utility,1.0,X,BIT,,,,,,DFO,,,,N,, ,OVER,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
5701,El Paso Electric Co,9.0,Copper,TX,El Paso,1,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.5,0.9,62,62,4,N, , ,OP,X,7.0,1980.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,N,, ,10M,,,,,,,, , , , , , , , ,,, , , ,, , ,,N
195,Alabama Power Co,10.0,Greene County,AL,Greene,1,Conventional Steam Coal,ST,,J,X,X,,,299.2,0.85,254,254,110,N, , ,OP,X,6.0,1965.0, , ,N,Electric Utility,1.0,X,BIT,NG,SUB,,,,NG,,,,N,, ,12H,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,10.0,Greene County,AL,Greene,2,Conventional Steam Coal,ST,,J,X,X,,,269.2,0.85,243,243,110,N, , ,OP,X,7.0,1966.0, , ,N,Electric Utility,1.0,X,BIT,NG,SUB,,,,NG,,,,N,, ,12H,,Y,,,Y,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT10,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,85,101,66,N, , ,OP,X,5.0,1996.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT2,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,84,100,66,N, , ,OP,X,5.0,1996.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT3,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,82,98,66,N, , ,OP,X,5.0,1995.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT4,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,81,97,66,N, , ,OP,X,5.0,1995.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT5,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,82,98,66,N, , ,OP,X,5.0,1995.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT6,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,81,97,66,N, , ,OP,X,5.0,1995.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT7,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,80,96,66,N, , ,OP,X,5.0,1995.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT8,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,83,99,66,N, , ,OP,X,5.0,1996.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,10.0,Greene County,AL,Greene,GT9,Natural Gas Fired Combustion Turbine,GT,,S,X,X,,,80.0,0.85,82,98,66,N, , ,OP,X,5.0,1996.0, , ,N,Electric Utility,1.0,X,NG,DFO,,,,,,,,,,, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,Y
195,Alabama Power Co,11.0,H Neely Henry Dam,AL,Calhoun,1,Conventional Hydroelectric,HY,,S,X,X,,,24.3,0.9,23.3,22.3,22.3,N, , ,OP,X,6.0,1966.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,11.0,H Neely Henry Dam,AL,Calhoun,2,Conventional Hydroelectric,HY,,S,X,X,,,24.3,0.9,23.3,22.3,22.3,N, , ,OP,X,6.0,1966.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
195,Alabama Power Co,11.0,H Neely Henry Dam,AL,Calhoun,3,Conventional Hydroelectric,HY,,S,X,X,,,24.3,0.9,23.4,22.4,22.4,N, , ,OP,X,6.0,1966.0, , ,N,Electric Utility,1.0,X,WAT,,,,,,,,,,,,0,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,,
