Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Planned Retirement Month,Planned Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Planned Net Summer Capacity Uprate (MW),Planned Net Winter Capacity Uprate (MW),Planned Uprate Month,Planned Uprate Year,Planned Net Summer Capacity Derate (MW),Planned Net Winter Capacity Derate (MW),Planned Derate Month,Planned Derate Year,Planned New Prime Mover,Planned Energy Source 1,Planned New Nameplate Capacity (MW),Planned Repower Month,Planned Repower Year,Other Planned Modifications?,Other Modifications Month,Other Modifications Year,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
2820,Calpine Corp - Pastoria Energy Center,55656.0,"Pastoria Energy Facility, LLC",CA,Kern,CT04,Natural Gas Fired Combined Cycle,CT,PB02,S,X,Y,SP-15,SP-15,168.0,0.85,170,175,85,N, , ,OP,X,5.0,2005.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
2820,Calpine Corp - Pastoria Energy Center,55656.0,"Pastoria Energy Facility, LLC",CA,Kern,ST03,Natural Gas Fired Combined Cycle,CA,PB01,S,N,X,SP-15,SP-15,185.0,0.85,179,182,50,N, , ,OP,X,7.0,2005.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
2820,Calpine Corp - Pastoria Energy Center,55656.0,"Pastoria Energy Facility, LLC",CA,Kern,ST05,Natural Gas Fired Combined Cycle,CA,PB02,S,N,X,SP-15,SP-15,90.0,0.85,87,89,50,N, , ,OP,X,5.0,2005.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,,
13538,"Essential Power Operating Services, LLC",55661.0,Newington,NH,Rockingham,GT-1,Natural Gas Fired Combined Cycle,CT,CC1,W,X,N,UN.NEW_ENER18.0NEWE,4002,185.6,0.85,164.4,201.5,105,N, , ,OP,X,10.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
13538,"Essential Power Operating Services, LLC",55661.0,Newington,NH,Rockingham,GT-2,Natural Gas Fired Combined Cycle,CT,CC1,W,X,N,UN.NEW_ENER18.0NEWE,4002,185.6,0.85,164.4,201.5,105,N, , ,OP,X,10.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,DFO,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,Y,N,Y
13538,"Essential Power Operating Services, LLC",55661.0,Newington,NH,Rockingham,ST,Natural Gas Fired Combined Cycle,CA,CC1,W,Y,X,UN.NEW_ENER18.0NEWE,4002,234.3,0.9,231.7,230,70,N, , ,OP,X,10.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
14354,PacifiCorp,55662.0,Chehalis Generating Facility,WA,Lewis,CA,Natural Gas Fired Combined Cycle,CA,CC1,S,N,X,,,195.5,0.85,157,167,100,N, , ,OP,X,8.0,2003.0,12,2043,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
14354,PacifiCorp,55662.0,Chehalis Generating Facility,WA,Lewis,CT1,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,198.9,0.85,160,170,100,N, , ,OP,X,8.0,2003.0,12,2043,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
14354,PacifiCorp,55662.0,Chehalis Generating Facility,WA,Lewis,CT2,Natural Gas Fired Combined Cycle,CT,CC1,S,X,N,,,198.9,0.85,160,170,100,N, , ,OP,X,8.0,2003.0,12,2043,N,Electric Utility,1.0,X,NG,,,,,,,,,,N,, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
13670,"Northeast Texas Elec Coop, Inc",55664.0,Harrison County Power Project,TX,Harrison,GT-1,Natural Gas Fired Combined Cycle,CT,CC1,J,X,N,HARRISON,HARRISON,170.0,0.85,144.5,166.6,100,N, , ,OP,X,6.0,2003.0, , ,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,
13670,"Northeast Texas Elec Coop, Inc",55664.0,Harrison County Power Project,TX,Harrison,GT-2,Natural Gas Fired Combined Cycle,CT,CC1,J,X,N,,,170.0,0.85,144.5,166.6,100,N, , ,OP,X,6.0,2003.0, , ,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,
13670,"Northeast Texas Elec Coop, Inc",55664.0,Harrison County Power Project,TX,Harrison,ST-1,Natural Gas Fired Combined Cycle,CA,CC1,J,Y,X,,,230.0,0.85,225.4,225.4,50,N, , ,OP,X,6.0,2003.0, , ,N,Electric Utility,1.0,X,NG,,,,,,NG,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,
11275,Lower Mount Bethel Energy LLC,55667.0,Lower Mount Bethel Energy,PA,Northampton,G1,Natural Gas Fired Combined Cycle,CT,CC01,W,X,N,31020649,31020649,211.5,0.9,195.3,195.3,96,N, , ,OP,X,5.0,2004.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,N,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
11275,Lower Mount Bethel Energy LLC,55667.0,Lower Mount Bethel Energy,PA,Northampton,G2,Natural Gas Fired Combined Cycle,CT,CC01,W,X,N,31020651,31020651,211.5,0.9,191.3,191.3,96,N, , ,OP,X,5.0,2004.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
11275,Lower Mount Bethel Energy LLC,55667.0,Lower Mount Bethel Energy,PA,Northampton,G3,Natural Gas Fired Combined Cycle,CA,CC01,W,Y,X,31020653,31020653,228.6,0.9,215,215,135,N, , ,OP,X,5.0,2004.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,12H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT1,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72.1,86.8,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT2,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72.1,86.8,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT3,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72,86.8,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
59417,"SEPG Operating Services, LLC ALS",55672.0,AL Sandersville LLC,GA,Washington,CT4,Natural Gas Fired Combustion Turbine,GT,,W,X,X,,,86.5,0.85,72,86.8,60,N, , ,OP,X,5.0,2002.0, , ,N,IPP Non-CHP,2.0,X,NG,,,,,,,,,,N,N, ,1H,,,,,,,, , , , , , , , ,,, , , ,, , ,N,N,N
