Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Energy Source 1,Energy Source 2,Multiple Fuels?,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
18642,Tennessee Valley Authority,47,Colbert,AL,Colbert,GT8,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,59.5,45.4,60.8,9,1972,NG,DFO,Y,N,,,,,,,Y,Y,45.4,60.8,47.5,59.1,1H,1H,Y,,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,149.0,110,140,3,1999,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,110,140,110,140,1H,1H,Y,Y,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT2,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,149.0,105,140,1,1999,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,105,140,105,140,1H,1H,Y,Y,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT3,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,149.0,106,140,4,1999,NG,DFO,Y,Y,AB,DFO,,,,,Y,Y,106,140,106,140,1H,1H,Y,Y,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT4,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,108.0,71,88,11,2001,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,71,92,71,92,1H,1H,Y,Y,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT5,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,108.0,71,88,11,2001,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,70.6,87.6,70.6,87.6,1H,1H,Y,Y,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT6,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,98.0,69,88,1,2005,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,69,88,69,88,1H,1H,Y,Y,Y,
5580,"East Kentucky Power Coop, Inc",54,J K Smith,KY,Clark,GT7,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,98.0,69,88,1,2005,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,69,88,69,88,1H,1H,Y,Y,Y,
3522,Chugach Electric Assn Inc,75,Anchorage 1,AK,Anchorage,4,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,27.0,31.1,33.2,3,1972,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,31,33.2,31,33.2,1H,1H,Y,Y,,
15500,Puget Sound Energy Inc,99,Frederickson,WA,Pierce,1,OP,Natural Gas Fired Combustion Turbine,GT,Electric Utility,1,88.9,67,81.1,11,1981,NG,DFO,Y,Y,NG,DFO,,,,,Y,Y,67,81.1,67,81.1,1H,1H,Y,Y,,
