Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,4,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,35, ,35, ,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,4GT1,OP,CT,Electric Utility,1,185.0, , ,NG,DFO,N,,,,,,,Y,Y,185, ,185, ,1H,,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,4GT2,OP,CT,Electric Utility,1,185.0, , ,NG,DFO,N,,,,,,,Y,Y,185, ,185, ,1H,,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,5,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,35, ,35, ,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,5GT1,OP,CT,Electric Utility,1,185.0, , ,NG,DFO,N,,,,,,,Y,Y,185, ,185, ,1H,,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,5GT2,OP,CT,Electric Utility,1,185.0, , ,NG,DFO,N,,,,,,,Y,Y,185, ,185, ,1H,,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,6,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,35, ,35, ,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,7,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,35, ,35, ,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,8,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,35, ,35, ,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,9,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,35, ,35, ,1H,1H,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,ST4,OP,CA,Electric Utility,1,151.2,442,485,NG,DFO,N,,,,,,,Y,Y,430, ,430, ,1H,,N,,,
6452,Florida Power & Light Co,613,Lauderdale,FL,Broward,ST5,OP,CA,Electric Utility,1,151.2,442,485,NG,DFO,N,,,,,,,Y,Y,429, ,429, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,10,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,11,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,12,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,6,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,7,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,8,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,9,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,GT1,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,GT2,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,GT3,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,1H,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,GT4,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,1H,N,,,
6452,Florida Power & Light Co,617,Port Everglades,FL,Broward,GT5,OP,GT,Electric Utility,1,34.2,35,40,NG,DFO,N,,,,,,,Y,Y,34, ,34, ,1H,1H,N,,,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,5CA,OP,CA,Electric Utility,1,472.0,1148,1178,NG,,N,,,,,,,Y,Y,451,467,333,359,1H,,Y,Y,Y,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,5CTA,OP,CT,Electric Utility,1,188.0, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,5CTB,OP,CT,Electric Utility,1,188.0, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,5CTC,OP,CT,Electric Utility,1,188.0, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,5CTD,OP,CT,Electric Utility,1,188.0, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,ST1,OP,ST,Electric Utility,1,402.0,396,398,RFO,NG,Y,RFO,NG,,,,,Y,Y,398, ,398, ,1H,,N,,,
6452,Florida Power & Light Co,621,Turkey Point,FL,Miami-Dade,ST2,OP,ST,Electric Utility,1,402.0,392,394,RFO,NG,Y,RFO,NG,,,,,Y,Y,400, ,400, ,,,N,,,
6452,Florida Power & Light Co,6042,Manatee,FL,Manatee,1,OP,ST,Electric Utility,1,863.3,812,822,RFO,NG,Y,RFO,NG,,,,,Y,Y,814, ,814, ,1H,,N,,,
6452,Florida Power & Light Co,6042,Manatee,FL,Manatee,2,OP,ST,Electric Utility,1,863.3,812,822,RFO,NG,Y,RFO,NG,,,,,Y,Y,814, ,814, ,1H,,N,,,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,1,OP,ST,Electric Utility,1,934.5,826,832,RFO,NG,Y,RFO,NG,,,,,Y,Y,828, ,828, ,1H,,N,,,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,2,OP,ST,Electric Utility,1,934.5,826,832,RFO,NG,Y,RFO,NG,,,,,Y,Y,821, ,821, ,1H,,N,,,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,8,OP,CA,Electric Utility,1,471.7,1105,1180,NG,SUN,N,,,,,,,Y,Y,439,458,333,359,1H,,Y,Y,Y,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,8A,OP,CT,Electric Utility,1,188.2, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,8B,OP,CT,Electric Utility,1,188.2, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,8C,OP,CT,Electric Utility,1,188.2, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,6043,Martin,FL,Martin,8D,OP,CT,Electric Utility,1,188.2, , ,NG,DFO,N,,,,,,,Y,Y,160,173,165,178,1H,,Y,Y,Y,
6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,1GT1,OP,CT,Electric Utility,1,85.0, , ,NG,DFO,N,,,,,,,Y,Y,85, ,85, ,1H,,N,,,
6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,1GT2,OP,CT,Electric Utility,1,85.0, , ,NG,DFO,N,,,,,,,Y,Y,85, ,85, ,1H,,N,,,
6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,1ST,OP,CA,Electric Utility,1,120.0,249,265,NG,DFO,N,,,,,,,Y,Y,249, ,249, ,1H,,N,,,
6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,2GT1,OP,CT,Electric Utility,1,85.0, , ,NG,DFO,N,,,,,,,Y,Y,85, ,85, ,1H,,N,,,
6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,2GT2,OP,CT,Electric Utility,1,85.0, , ,NG,DFO,N,,,,,,,Y,Y,85, ,85, ,1H,,N,,,
6452,Florida Power & Light Co,6246,Putnam,FL,Putnam,2ST,OP,CA,Electric Utility,1,120.0,249,265,NG,DFO,N,,,,,,,Y,Y,249, ,249, ,1H,,N,,,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,1A,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,1B,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,1C,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,1ST,OP,CA,Electric Utility,1,527.0,523,525,NG,DFO,N,,,,,,,Y,Y,423, ,290, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,2A,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,2B,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,2C,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,2ST,OP,CA,Electric Utility,1,527.0,523,525,NG,DFO,N,,,,,,,Y,Y,423, ,290, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,3A,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,3B,OP,CT,Electric Utility,1,298.0,244,282,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,3C,OP,CT,Electric Utility,1,298.0,232,270,NG,DFO,Y,NG,DFO,,,,,Y,Y,243, ,202, ,1H,,Y,,Y,
6452,Florida Power & Light Co,56407,West County Energy Center,FL,Palm Beach,3ST,OP,CA,Electric Utility,1,527.0,523,527,NG,DFO,N,,,,,,,Y,Y,423, ,290, ,1H,,Y,,Y,
6455,"Duke Energy Florida, Inc",624,Avon Park,FL,Highlands,P1,OP,GT,Electric Utility,1,33.7,24,35,NG,DFO,N,,,,,,,Y,Y,24,35,24,35,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",630,Higgins,FL,Pinellas,P1,OP,GT,Electric Utility,1,33.7,20,20,NG,DFO,N,,,,,,,Y,Y,20,20,20,20,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",630,Higgins,FL,Pinellas,P2,OP,GT,Electric Utility,1,33.7,25,25,NG,DFO,N,,,,,,,Y,Y,25,25,25,25,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",630,Higgins,FL,Pinellas,P3,OP,GT,Electric Utility,1,42.9,30,36,NG,DFO,N,,,,,,,Y,Y,30,36,30,36,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",630,Higgins,FL,Pinellas,P4,OP,GT,Electric Utility,1,42.9,30,35,NG,DFO,N,,,,,,,Y,Y,30,35,30,35,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,4AGT,OP,CT,Electric Utility,1,208.0,173,203,NG,DFO,N,,,,,,,Y,Y,173,201,173,201,24H,24H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,4BGT,OP,CT,Electric Utility,1,208.0,175,206,NG,DFO,N,,,,,,,Y,Y,175,203,175,203,24H,24H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,4CGT,OP,CT,Electric Utility,1,208.0,172,206,NG,DFO,N,,,,,,,Y,Y,172,201,172,201,24H,24H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,4DGT,OP,CT,Electric Utility,1,208.0,172,203,NG,DFO,N,,,,,,,Y,Y,172,201,172,201,24H,24H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,4ST,OP,CA,Electric Utility,1,421.0,382,367,NG,DFO,N,,,,,,,Y,Y,382,429,382,429,24H,24H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,P2,OP,GT,Electric Utility,1,55.7,43,57,NG,DFO,N,,,,,,,Y,Y,43,57,43,57,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",634,P L Bartow,FL,Pinellas,P4,OP,GT,Electric Utility,1,55.7,49,61,NG,DFO,N,,,,,,,Y,Y,49,61,49,61,24H,24H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",638,Suwannee River,FL,Suwannee,1,OP,ST,Electric Utility,1,34.5,28,28,RFO,NG,N,,,,,,,Y,Y,30, ,30, ,UNK,,Y,Y,,
6455,"Duke Energy Florida, Inc",638,Suwannee River,FL,Suwannee,2,OP,ST,Electric Utility,1,37.5,29,28,RFO,NG,N,,,,,,,Y,Y,30, ,30, ,UNK,,Y,Y,,
6455,"Duke Energy Florida, Inc",638,Suwannee River,FL,Suwannee,3,OP,ST,Electric Utility,1,75.0,71,73,RFO,NG,N,,,,,,,Y,Y,71, ,71, ,UNK,,Y,Y,,
6455,"Duke Energy Florida, Inc",638,Suwannee River,FL,Suwannee,P1,OP,GT,Electric Utility,1,61.2,52,67,NG,DFO,N,,,,,,,Y,Y,52,67,52,67,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",638,Suwannee River,FL,Suwannee,P3,OP,GT,Electric Utility,1,61.2,52,60,NG,DFO,N,,,,,,,Y,Y,51,60,51,60,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",6046,DeBary,FL,Volusia,7,OP,GT,Electric Utility,1,115.0,83,94,NG,DFO,N,,,,,,,Y,Y,83,94,83,94,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",6046,DeBary,FL,Volusia,8,OP,GT,Electric Utility,1,115.0,83,96,NG,DFO,N,,,,,,,Y,Y,83,96,83,96,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",6046,DeBary,FL,Volusia,9,OP,GT,Electric Utility,1,115.0,81,97,NG,DFO,N,,,,,,,Y,Y,81,97,81,97,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,1GT,OP,CT,Electric Utility,1,173.4,151,174,NG,DFO,N,,,,,,,Y,Y,170, ,170, ,UNK,,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,1GT2,OP,CT,Electric Utility,1,173.4,151,174,NG,DFO,N,,,,,,,Y,Y,170, ,170, ,UNK,,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,1ST,OP,CA,Electric Utility,1,199.7,160,180,NG,DFO,N,,,,,,,Y,Y,160, ,160, ,UNK,,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,2GT,OP,CT,Electric Utility,1,167.7,154,186,NG,DFO,N,,,,,,,Y,Y,154,186,154,186,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,2GT2,OP,CT,Electric Utility,1,167.7,154,186,NG,DFO,N,,,,,,,Y,Y,154,186,154,186,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,2ST,OP,CA,Electric Utility,1,180.6,182,191,NG,DFO,N,,,,,,,Y,Y,182,191,182,191,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,3GT,OP,CT,Electric Utility,1,193.0,155,186,NG,DFO,N,,,,,,,Y,Y,155,186,155,186,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,3GT2,OP,CT,Electric Utility,1,193.0,155,186,NG,DFO,N,,,,,,,Y,Y,155,186,155,186,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,3ST,OP,CA,Electric Utility,1,204.0,178,192,NG,DFO,N,,,,,,,Y,Y,178,192,178,192,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,4GT,OP,CT,Electric Utility,1,199.0,151,182,NG,DFO,N,,,,,,,Y,Y,151,182,151,182,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,4GT2,OP,CT,Electric Utility,1,199.0,151,182,NG,DFO,N,,,,,,,Y,Y,151,182,151,182,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",7302,Hines Energy Complex,FL,Polk,4ST,OP,CA,Electric Utility,1,212.0,170,180,NG,DFO,N,,,,,,,Y,Y,170,180,170,180,6H,6H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8048,Anclote,FL,Pasco,1,OP,ST,Electric Utility,1,556.2,501,506,NG,RFO,N,,,,,,,Y,Y,501, ,501, ,UNK,,Y,Y,,
6455,"Duke Energy Florida, Inc",8048,Anclote,FL,Pasco,2,OP,ST,Electric Utility,1,556.2,490,511,NG,RFO,N,,,,,,,Y,Y,510, ,510, ,UNK,,Y,Y,,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P10,OP,GT,Electric Utility,1,115.0,82,95,NG,DFO,N,,,,,,,Y,Y,82,95,82,95,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P12,OP,GT,Electric Utility,1,115.0,76,92,NG,DFO,N,,,,,,,Y,Y,76,92,76,92,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P13,OP,GT,Electric Utility,1,115.0,76,92,NG,DFO,N,,,,,,,Y,Y,76,92,76,92,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P14,OP,GT,Electric Utility,1,115.0,77,92,NG,DFO,N,,,,,,,Y,Y,77,92,77,92,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P7,OP,GT,Electric Utility,1,115.0,83,94,NG,DFO,N,,,,,,,Y,Y,83,94,83,94,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P8,OP,GT,Electric Utility,1,115.0,81,95,NG,DFO,N,,,,,,,Y,Y,81,95,81,95,1H,1H,Y,Y,Y,
6455,"Duke Energy Florida, Inc",8049,Intercession City,FL,Osceola,P9,OP,GT,Electric Utility,1,115.0,82,95,NG,DFO,N,,,,,,,Y,Y,82,95,82,95,1H,1H,Y,Y,Y,
6526,FirstEnergy Generation Corp,2869,FirstEnergy West Lorain,OH,Lorain,2,OP,GT,IPP Non-CHP,2,85.0,85,85,NG,DFO,N,,,,,,,Y,Y,74, ,74, ,1H,1H,Y,Y,Y,Y
6526,FirstEnergy Generation Corp,2869,FirstEnergy West Lorain,OH,Lorain,3,OP,GT,IPP Non-CHP,2,85.0,85,85,NG,DFO,N,,,,,,,Y,Y,74, ,74, ,1H,1H,Y,Y,Y,Y
6526,FirstEnergy Generation Corp,2869,FirstEnergy West Lorain,OH,Lorain,4,OP,GT,IPP Non-CHP,2,85.0,85,85,NG,DFO,N,,,,,,,Y,Y,74, ,74, ,1H,,Y,Y,Y,Y
6526,FirstEnergy Generation Corp,2869,FirstEnergy West Lorain,OH,Lorain,5,OP,GT,IPP Non-CHP,2,85.0,85,85,NG,DFO,N,,,,,,,Y,Y,74, ,74, ,1H,1H,Y,Y,Y,Y
6526,FirstEnergy Generation Corp,2869,FirstEnergy West Lorain,OH,Lorain,6,OP,GT,IPP Non-CHP,2,85.0,85,85,NG,DFO,N,,,,,,,Y,Y,85, ,85, ,1H,1H,Y,Y,Y,Y
6526,FirstEnergy Generation Corp,2878,FirstEnergy Bay Shore,OH,Lucas,1,OP,ST,IPP Non-CHP,2,150.5,136,136,PC,,Y,PC,BIT,,,,,N,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,ST1,OP,CA,Industrial CHP,7,33.5,28.5,28.5,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,ST2,OP,CA,Industrial CHP,7,66.3,57.5,57.5,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,ST3,OP,CA,Industrial CHP,7,55.0,47.3,51.7,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,TBG1,OP,CT,Industrial CHP,7,82.5,72,90,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,TBG2,OP,CT,Industrial CHP,7,82.5,72,90,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,TBG3,OP,CT,Industrial CHP,7,82.5,72,90,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,TBG4,OP,CT,Industrial CHP,7,82.5,72,90,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6541,Formosa Plastics Corp,10554,Formosa Utility Venture Ltd,TX,Calhoun,TBG5,OP,CT,Industrial CHP,7,82.5,72,90,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
6589,Georgia-Pacific Consr Prods LP-Muskogee,10362,Muskogee Mill,OK,Muskogee,GEN1,OP,ST,Industrial CHP,7,25.0,12,15.3,SUB,NG,Y,SUB,NG,BIT,,,,N,, , , , ,,,,,,
6589,Georgia-Pacific Consr Prods LP-Muskogee,10362,Muskogee Mill,OK,Muskogee,GEN2,OP,ST,Industrial CHP,7,44.5,20.1,33.5,SUB,NG,Y,SUB,NG,BIT,,,,N,, , , , ,,,,,,
6589,Georgia-Pacific Consr Prods LP-Muskogee,10362,Muskogee Mill,OK,Muskogee,GEN3,OP,ST,Industrial CHP,7,44.5,36,33.8,SUB,NG,Y,SUB,NG,BIT,,,,N,, , , , ,,,,,,
6616,Fort Pierce Utilities Authority,56400,Treasure Coast Energy Center,FL,St Lucie,CT1,OP,CT,Electric Utility,1,219.6,158.8,188.8,NG,DFO,N,,,,,,,Y,Y,155,165,155,165,1H,6H,Y,Y,Y,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,1,OP,IC,Electric Utility,1,0.6,0.6,0.6,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,2,OP,IC,Electric Utility,1,1.3,1.3,1.3,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,3,OP,IC,Electric Utility,1,1.1,1.1,1.1,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6723,City of Franklin - (NE),2238,Franklin (NE),NE,Franklin,4,OP,IC,Electric Utility,1,0.9,0.9,0.9,NG,DFO,Y,NG,DFO,,,,,N,, , , , ,,,,,,
6738,Franklin Heating Station,54224,Franklin Heating Station,MN,Olmsted,DG6,SB,IC,Commercial CHP,5,2.4,2.3,2.4,NG,DFO,Y,NG,DFO,,,,,Y,Y,2.2, ,2.35, ,1H,,Y,,Y,
6738,Franklin Heating Station,54224,Franklin Heating Station,MN,Olmsted,DG7,SB,IC,Commercial CHP,5,2.4,2.3,2.4,NG,DFO,Y,NG,DFO,,,,,Y,Y,2.2, ,2.35, ,1H,,Y,,Y,
6738,Franklin Heating Station,54224,Franklin Heating Station,MN,Olmsted,GEN1,OP,ST,Commercial CHP,5,2.5,2,2,NG,RFO,Y,NG,RFO,,,,,Y,Y,2, ,2, ,1H,,Y,,Y,
6738,Franklin Heating Station,54224,Franklin Heating Station,MN,Olmsted,GEN2,OP,ST,Commercial CHP,5,2.5,2,2,NG,RFO,Y,NG,RFO,,,,,Y,Y,2, ,2, ,1H,,Y,,Y,
6738,Franklin Heating Station,54224,Franklin Heating Station,MN,Olmsted,GEN3,OP,ST,Commercial CHP,5,6.3,6.1,6.1,NG,RFO,Y,NG,RFO,,,,,Y,Y,6.1, ,6.1, ,1H,,Y,,Y,
6775,Village of Freeport - (NY),2679,Plant No 2 Freeport,NY,Nassau,CT5,OP,GT,Electric Utility,1,60.5,49,49,NG,KER,N,,,,,,,Y,Y,49.5, ,49.5, ,6H,,N,,,
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,5OT,OP,GT,Electric Utility,1,40.0,40,40,NG,DFO,Y,DFO,NG,,,,,Y,Y,38,36,38,36,1H,1H,Y,Y,Y,
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,6,OP,ST,Electric Utility,1,16.5,15,15,SUB,NG,Y,SUB,NG,,,,,N,, , , , ,,,,,,
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,7,OP,ST,Electric Utility,1,22.0,20,20,SUB,NG,Y,SUB,NG,,,,,N,, , , , ,,,,,,
6779,City of Fremont - (NE),2240,Lon Wright,NE,Dodge,8,OP,ST,Electric Utility,1,91.5,85,85,SUB,NG,Y,SUB,NG,,,,,N,, , , , ,,,,,,
