Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Energy Source 1,Energy Source 2,Cofire Fuels?,Cofire Energy Source 1,Cofire Energy Source 2,Cofire Energy Source 3,Cofire Energy Source 4,Cofire Energy Source 5,Cofire Energy Source 6,Switch Between Oil and Natural Gas?,Switch When Operating?,Net Summer Capacity with Natural Gas (MW),Net Winter Capacity with Natural Gas (MW),Net Summer Capacity with Oil (MW),Net Winter Capacity with Oil (MW),Time to Switch From Gas to Oil,Time to Switch From Oil to Gas,Factors that Limit Switching?,Storage Limits?,Air Permit Limits?,Other Limits?
298,City of Alexandria - (LA),6558,D G Hunter,LA,Rapides,4,SB,ST,Electric Utility,1,85.0,80,80,NG,DFO,N,,,,,,,Y,Y,70,70,65,65,6H,24H,Y,Y,Y,
309,City of Algona - (IA),1120,Algona,IA,Kossuth,6,OP,IC,Electric Utility,1,3.2,3.2,3.2,DFO,NG,N,,,,,,,Y,Y,3.2,3.2,3.2,3.2,1H,1H,Y,,Y,
309,City of Algona - (IA),1120,Algona,IA,Kossuth,7,OP,IC,Electric Utility,1,4.1,4.1,4.1,DFO,NG,N,,,,,,,Y,Y,4.1,4.1,4.1,4.1,1H,1H,Y,,Y,
327,Air Liquide Large Industries U S LP,10298,Bayou Cogen Plant,TX,Harris,GEN1,OP,GT,Industrial CHP,7,75.0,65,85,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
327,Air Liquide Large Industries U S LP,10298,Bayou Cogen Plant,TX,Harris,GEN2,OP,GT,Industrial CHP,7,75.0,65,85,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
327,Air Liquide Large Industries U S LP,10298,Bayou Cogen Plant,TX,Harris,GEN3,OP,GT,Industrial CHP,7,75.0,65,85,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
327,Air Liquide Large Industries U S LP,10298,Bayou Cogen Plant,TX,Harris,GEN4,OP,GT,Industrial CHP,7,75.0,65,85,NG,OG,Y,NG,OG,,,,,,, , , , ,,,,,,
405,City of Alta - (IA),1121,Alta Municipal Utilities,IA,Buena Vista,3,SB,IC,Electric Utility,1,1.1,1,1.1,DFO,NG,N,,,,,,,Y,,1,1.1,1,1.1,UNK,UNK,Y,,,Y
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,Niagara,GEN1,OP,ST,IPP CHP,3,25.0,18,18,MSW,WDS,Y,NG,MSW,WDS,,,,N,, , , , ,,,,,,
470,Covanta Energy of Niagara LP,50472,Covanta Niagara LP,NY,Niagara,GEN2,OP,ST,IPP CHP,3,25.0,18,18,MSW,WDS,Y,NG,MSW,WDS,,,,N,, , , , ,,,,,,
