Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Net Capacity Under STC (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Year,Technology,DC Net Capacity (MW),East West Fixed Tilt?,Tilt Angle,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW),Azimuth Angle,Bifacial?
62071,"Route 14A CDG Solar North and South, LLC",62580,Route 14A CDG Solar North and South LLC,NY,Ontario,6081,OP,PV,IPP Non-CHP,2,4.0,4.0,3.3,12,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.2,,25,N, ,Y,5.2,180,
62072,Newfield Solar LLC,62582,Newfield Community Solar LLC,NY,Tompkins,5216,OP,PV,IPP Non-CHP,2,6.0,6.0,5.3,1,2019,,Y,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,7.5,,20,N, ,Y,7.5,180,
62067,EnterSolar,62613,CBP Solar,NY,Westchester,CBPB1,OP,PV,IPP Non-CHP,2,1.8,1.8,1.8,12,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.4,,35,Y,2.4,N, ,141,
62067,EnterSolar,62614,Kinder Morgan Fordham,NY,Richmond,KMFO1,OP,PV,IPP Non-CHP,2,1.7,1.7,1.7,6,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3.1,,30,Y,3.1,N, ,180,
59474,BQ Energy LLC,62721,Steel Sun 2: 2303-III-9 Hamburg Tpke,NY,Erie,SS29,OP,PV,IPP Non-CHP,2,2.0,2.0,2,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,Y,3,N, ,180,
59474,BQ Energy LLC,62722,Steel Sun 2: 2303-III-4 Hamburg Tpke,NY,Erie,SS24,OP,PV,IPP Non-CHP,2,2.0,2.0,2,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,Y,3,N, ,180,
59474,BQ Energy LLC,62723,Steel Sun 2: 2303-III-2 Hamburg Tpke,NY,Erie,SS22,OP,PV,IPP Non-CHP,2,2.0,2.0,2,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,Y,3,N, ,180,
59474,BQ Energy LLC,62724,Homer Street West,NY,Cattaraugus,HSW,OP,PV,IPP Non-CHP,2,1.6,1.6,1.6,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2,,25,Y,2,N, ,180,
59474,BQ Energy LLC,62725,Homer Street East,NY,Cattaraugus,HSE,OP,PV,IPP Non-CHP,2,1.6,1.6,1.6,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2,,25,Y,2,N, ,180,
60281,"Altus Power America Management, LLC",62759,Greenville CSG,NY,Orange,GV,OP,PV,IPP Non-CHP,2,2.0,2.0,2,8,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.8,,30,N, ,Y,2.3,180,
60281,"Altus Power America Management, LLC",62761,Chester CSG,NY,Orange,CH,OP,PV,IPP Non-CHP,2,2.0,2.0,2,7,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.7,,20,N, ,Y,2.7,180,
60281,"Altus Power America Management, LLC",62764,Westtown CSG,NY,Orange,WT,OP,PV,IPP Non-CHP,2,2.0,2.0,2,5,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.8,,20,N, ,Y,2.8,180,
62684,Ulster Solar LLC,62777,Ulster County Solar,NY,Ulster,ULSTE,OP,PV,IPP Non-CHP,2,1.4,1.4,1.4,5,2018,,,,Y,,,,,,,Y,,,,N,,2020,Solar Photovoltaic,1.9,,25,N, ,Y,1.9,180,
62688,"Helios NY I, LLC",62784,Franklin Solar Site,NY,Franklin,FRANK,OP,PV,IPP Non-CHP,2,1.6,1.6,1.6,12,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.1,,20,N, ,Y,2,180,
62688,"Helios NY I, LLC",62785,Malone Solar Site,NY,Franklin,MALON,OP,PV,IPP Non-CHP,2,1.1,1.1,1.1,12,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,1.4,,20,N, ,Y,1.4,180,
60531,Standard Solar,62788,Sugarhill Road - Solitude Solar CSG,NY,Saratoga,X0040,OP,PV,IPP Non-CHP,2,4.7,4.7,4.7,9,2019,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.9,,0,N, ,N, ,0,
62678,"RIT Henrietta Solar 1, LLC",62810,"RIT Henrietta Solar 1, LLC",NY,Monroe,13500,OP,PV,IPP Non-CHP,2,1.6,1.6,1.6,12,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.3,,20,Y,2.3,N, ,180,
62879,Hickory Grove #1 LLC,62831,Hickory Grove #1,NY,Chemung,25,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.7,,20,N, ,N, ,180,
62880,Hickory Grove #2,62832,Hickory Grove #2,NY,Chemung,309,OP,PV,IPP Non-CHP,2,1.7,1.7,1.7,12,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.7,,20,N, ,N, ,180,
63179,NY Enfield I LLC,62834,Podunk Road CSG,NY,Tompkins,871,OP,PV,IPP Non-CHP,2,2.2,2.2,2.2,2,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.7,,25,N, ,Y,2.2,180,
60571,"AEP Onsite Partners, LLC",62843,Garnet Solar (NY),NY,Warren,PV1,OP,PV,IPP Non-CHP,2,1.9,1.9,1.9,6,2018,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,2.6,,25,Y,2.6,N, ,5,
62881,Chambers Road Solar LLC,62860,Chambers Road Solar,NY,Chemung,263,OP,PV,IPP Non-CHP,2,4.0,4.0,4,12,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.5,,20,N, ,N, ,180,
61012,AES Distributed Energy,62998,"25 Ashdown Road Solar, LLC",NY,Saratoga,ASHDO,OP,PV,IPP Non-CHP,2,4.0,4.0,4,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.8,,25,N, ,Y,4,0,
61012,AES Distributed Energy,62999,"Finchville Solar, LLC Hybrid CSG",NY,Orange,FINCH,OP,PV,IPP Non-CHP,2,5.0,5.0,5,10,2020,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,6.8,,25,N, ,Y,6.8,28,
61012,AES Distributed Energy,63000,"RT 52 Walden Solar 1, LLC Hybrid",NY,Orange,WALDN,OP,PV,IPP Non-CHP,2,5.0,5.0,5,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.8,,25,N, ,Y,5.7,33,
61012,AES Distributed Energy,63012,"Ransomville Solar 1, LLC",NY,Niagara,SWANN,OP,PV,IPP Non-CHP,2,5.0,5.0,5,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,5.2,,25,N, ,Y,5,30,
61012,AES Distributed Energy,63013,"Johnstown Solar 1, LLC",NY,Fulton,STATE,OP,PV,IPP Non-CHP,2,4.0,4.0,4,12,2019,,,,Y,,,,,,,Y,,,,,,2020,Solar Photovoltaic,4.4,,25,N, ,Y,4,29,
62856,"Forefront Power, LLC",63051,Hollygrove CSG,NY,Wayne,32,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63052,Guildlerland CSG,NY,Albany,106,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63055,Howland CSG,NY,Oswego,26,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63056,Gifford CSG,NY,Schenectady,131,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63057,Czub CSG,NY,Rensselaer,114,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63058,Mereand CSG,NY,Jefferson,199,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63059,Aegis CSG,NY,Ontario,19,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
62856,"Forefront Power, LLC",63060,Pearl CSG,NY,Genesee,28,OP,PV,IPP Non-CHP,2,2.0,2.0,2,12,2018,,Y,,,,,,,,,Y,,,,,,2020,Solar Photovoltaic,3,,25,N, ,Y,3,0,
