Utility ID,Utility Name,Plant Code,Plant Name,Street Address,City,State,Zip,County,Latitude,Longitude,NERC Region,Balancing Authority Code,Balancing Authority Name,Name of Water Source,Primary Purpose (NAICS Code),Regulatory Status,Sector,Sector Name,Net Metering (for facilities with solar or wind generation),FERC Cogeneration Status,FERC Cogeneration Docket Number,FERC Small Power Producer Status,FERC Small Power Producer Docket Number,FERC Exempt Wholesale Generator Status,FERC Exempt Wholesale Generator Docket Number,Ash Impoundment?,Ash Impoundment Lined?,Ash Impoundment Status,Transmission or Distribution System Owner,Transmission or Distribution System Owner ID,Transmission or Distribution System Owner State,Grid Voltage (kV),Grid Voltage 2 (kV),Grid Voltage 3 (kV),Natural Gas Pipeline Name,Year,Energy Storage,Natural Gas LDC Name,Natural Gas Pipeline Name 1,Natural Gas Pipeline Name 2,Natural Gas Pipeline Name 3,Pipeline Notes,Natural Gas Storage,Liquefied Natural Gas Storage
6028,Entergy Nuclear Indian Point 3,8907,Indian Point 3,Broadway Bleakley Avenue,Buchanan,NY,10511,Westchester,41.2706,-73.9526,NPCC,NYIS,New York Independent System Operator,Hudson River,22,NR,2,IPP Non-CHP,,N,,N,,Y,00-2740-001,N,X,,Consolidated Edison Co-NY Inc,4226,NY,345, , ,,2021,N,,,,,,,
5624,"RED-Rochester, LLC",10025,"RED-Rochester, LLC",Unnamed Road,Rochester,NY,14652,Monroe,43.1989,-77.6319,NPCC,NYIS,New York Independent System Operator,Lake Ontario,339,NR,7,Industrial CHP,,Y,84-467-000,N,,N,,N,X,,Rochester Gas & Electric Corp,16183,NY,34.5, , ,,2021,N,ROCHESTER GAS AND ELEC CORP,,,,,N,X
9357,Hampshire Paper Co Inc,10116,Hampshire Paper,1827 Country Rt 22,Gouverneur,NY,13642,St Lawrence,44.296544,-75.36645,NPCC,NYIS,New York Independent System Operator,Oswegatchie River,22,NR,2,IPP Non-CHP,,N,,Y,00-160-591,N,,N,X,,Niagara Mohawk Power Corp.,13573,NY,23, , ,,2021,N,,,,,,N,N
59136,Ampersand Hollow Dam Hydro LLC,10124,Hollow Dam Power Partnership,265 Cole Rd,Gouveneur,NY,13642,St Lawrence,44.296453,-75.336142,NPCC,NYIS,New York Independent System Operator,Oswgatchie River,22,NR,2,IPP Non-CHP,,N,,Y,99-75-000,N,,,X,,Niagara Mohawk Power Corp.,13573,NY,2.4, , ,,2021,N,,,,,,,
60741,Fortistar Castleton Power,10190,Castleton Energy Center,1902 River Road,Castleton,NY,12033,Rensselaer,42.5375,-73.7433,NPCC,NYIS,New York Independent System Operator,Moordener Kill,22,NR,2,IPP Non-CHP,,N,,N,,Y,01-89-000,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,NIAGARA MOHAWK DBA NATIONAL GRID,,,,,N,X
60023,EONY Generation Limited,10196,Moose River,7659 Lyonsdale Road,Lyons Falls,NY,13368,Lewis,43.610664,-75.341325,NPCC,NYIS,New York Independent System Operator,The Moose River,22,NR,2,IPP Non-CHP,,N,,Y,"86-515-000, 001, 002, 003 ",N,,N,X,,Niagara Mohawk Power Corp.,13573,NY,115, , ,,2021,N,,,,,,X,X
60023,EONY Generation Limited,10197,Philadlephia,24 Garden Road,Village of Philadelph,NY,13673,Jefferson,44.158611,-75.708778,NPCC,NYIS,New York Independent System Operator,Indian River,22,NR,2,IPP Non-CHP,,N,,Y,"85-673-000, 001, 002, 003",N,,N,X,,Niagara Mohawk Power Corp.,13573,NY,22.9, , ,,2021,N,,,,,,X,X
64078,"Central Rivers Power US, LLC",10214,Lower Saranac Hydroelectric Facility,1130 Military Turnpike,Plattsburgh,NY,12901,Clinton,44.6694,-73.5075,NPCC,NYIS,New York Independent System Operator,Saranac River,22,NR,2,IPP Non-CHP,,N,,Y,86-559-000,N,,,X,,New York State Elec & Gas Corp,13511,NY,46, , ,,2021,N,,,,,,,
55754,Boralex Hydro Operations Inc,10218,Warrensburg Hydroelectric,180 Library Avenue,Warrensburg,NY,12885,Warren,43.4833,-73.7986,NPCC,NYIS,New York Independent System Operator,Schroon River,22,NR,2,IPP Non-CHP,,N,,Y,"04-18-000,04-18-001,04-18-002,89-12-000,89-12-001,89-12-002",N,,N,X,,Niagara Mohawk Power Corp.,13573,NY,34.5, , ,,2021,N,,,,,,X,X
55754,Boralex Hydro Operations Inc,10219,Middle Falls Hydro,595 State Route 29,Middle Falls,NY,12848,Washington,43.098711,-73.525271,NPCC,NYIS,New York Independent System Operator,Battenkill River,22,NR,2,IPP Non-CHP,,N,,Y,"90-137-001,90-137-002, 90-137-003,90-137-004, 90-137-005",N,,N,X,,Niagara Mohawk Power Corp.,13573,NY,34.5, , ,,2021,N,,,,,,X,X
