Utility ID,Utility Name,Street Address,City,State,Zip,Owner?,Operator?,Asset Manager?,Other Reltionships with Plants Reported on Form?,Entity Type,Year,Other Relationships with Plants Reported on Form?,Owner of Plants Reported on Form?,Operator of Plants Reported on Form?,Asset Manager of Plants Reported on Form?
61965,St. Johns Episcopal Hospital,327 Beach 19th Street,Far Rockaway,NY,11691,,,,,COM,2024,,Y,Y,
61970,St. Joseph Hospital (NY),127 South Broadway,Yonkers,NY,10701,,,,,COM,2024,,Y,Y,
61971,Mt. Sinai- Morningside,1111 Amsterdam Ave,New York,NY,10025,,,,,COM,2024,,Y,Y,
61978,Convergent Energy and Power LP,7 Times Square,New York,NY,10036,,,,,Q,2024,,,Y,Y
62051,Airport Solar LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62080,"Lamesa Solar II, L.L.C.","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62087,Montefiore Mount Vernon Hospital,12 North 7th Avenue,Mount Vernon,NY,10550,,,,,COM,2024,,Y,Y,
62110,Rockland Bakery Inc.,94 Demarest Mill Road,Nanuet,NY,10954,,,,,COM,2024,,Y,Y,
62132,DWW Solar ll LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62134,Hunter Solar LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,
62146,Sigurd Solar LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,
62153,Hecate Energy Highland LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,Y,,,
62627,Cardinal Renewables,1 Vanderbilt Ave,New York,NY,10017,,,,,Q,2024,,Y,,
62629,G&S Operations LLC,"211 East 43rd St, 25th Floor",New York,NY,10017,,,,,COM,2024,,Y,,
62657,Harbec Energy,358 Timothy Lane,Ontario,NY,14519,,,,,IND,2024,,Y,Y,Y
62679,"Luminace Solar Rhode Island, LLC","200 Liberty Street, 14 Floor",New York,NY,10281,,,,,Q,2024,,Y,,
62744,"St. James Solar, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62758,"Orchard Windfarm, LLC","575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62764,C2 Starratt Solar LLC,"100 Park Avenue, 24th Floor",New York,NY,10017,,,,,Q,2024,,Y,,
62766,"Somerville Solar, LLC","55 5th Ave., 18th Floor",New York,NY,10003,,,,,Q,2024,,Y,,
62777,Burrstone Energy Center,1656 Champlain Avenue,New Hartford,NY,13413,,,,,COM,2024,,Y,,
62794,"AP Solar 2, LLC","412 West 15th Street, 15th Flo",New York,NY,10011,,,,,Q,2024,,Y,,Y
62802,Cove Mountain Solar LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62803,Cove Mountain Solar 2 LLC,"575 Fifth Ave., 35th Fl.",New York,NY,10017,,,,,Q,2024,,Y,,Y
62806,Guernsey Power Station LLC,565 Fifth Avenue 29th Fl,New York,NY,10017,,,,,Q,2024,,Y,Y,Y
62812,"Syncarpha Tewksbury, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62813,"Syncarpha Westminster, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62814,"Syncarpha Leicester, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62819,"Syncarpha Halifax, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62820,"Syncarpha Millbury, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62821,"Syncarpha Northampton, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,,Y,
62822,"Syncarpha Blandford, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62824,"Syncarpha Northbridge I, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62825,"Syncarpha Northbridge II, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62826,"Syncarpha Puddon I, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,,Y,
62827,"Syncarpha Puddon II, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62904,"Syncarpha El Rito I, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
62905,"Syncarpha Taos I, LLC","250 West 57th Street, Suite 70",New York,NY,10107,,,,,Q,2024,,Y,,
