Utility ID,Utility Name,Plant Code,Plant Name,State,Boiler ID,Boiler Status,Type of Boiler,New Source Review,New Source Review Permit,New Source Review Month,New Source Review Year,Regulation Sulfur,Standard Sulfur Rate,Standard Sulfur Percent Scrubbed,Unit Sulfur,Period Sulfur,Compliance Year Sulfur,Sulfur Dioxide Control Existing Strategy 1,Sulfur Dioxide Control Existing Strategy 2,Sulfur Dioxide Control Existing Strategy 3,Sulfur Dioxide Control Proposed Strategy 1,Sulfur Dioxide Control Proposed Strategy 2,Sulfur Dioxide Control Proposed Strategy 3,Regulation Nitrogen,Standard Nitrogen Rate,Unit Nitrogen,Period Nitrogen,Compliance Year Nitrogen,Nitrogen Oxide Control Existing Strategy 1,Nitrogen Oxide Control Existing Strategy 2,Nitrogen Oxide Control Existing Strategy 3,Nitrogen Oxide Control Proposed Strategy 1,Nitrogen Oxide Control Proposed Strategy 2,Nitrogen Oxide Control Proposed Strategy 3,Regulation Particulate,Standard Particulate Rate,Unit Particulate,Period Particulate,Compliance Year Particulate,Regulation Mercury,Compliance Year Mercury,Mercury Control Existing Strategy 1,Mercury Control Existing Strategy 2,Mercury Control Existing Strategy 3,Mercury Control Proposed Strategy 1,Mercury Control Proposed Strategy 2,Mercury Control Proposed Strategy 3
177,AES Hawaii Inc,10673,AES Hawaii,HI,BLRA,OP,Db,N,, , ,ST,48,1,DM,TH,1992,CF,,,CF,,,ST,25,NM,TH,1992,SN,,,SN,,,ST,20,OP,SM,1992,ST,2015,BR,,,BR,,
177,AES Hawaii Inc,10673,AES Hawaii,HI,BLRB,OP,Db,N,, , ,ST,48,1,DM,TH,1992,CF,,,CF,,,ST,25,NM,TH,1992,SN,,,SN,,,ST,20,OP,SM,1992,ST,2015,BR,,,BR,,
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,1,OP,N,N,, , ,ST,4, ,DP,DA,1975,WA,IF,,WA,IF,,FD,0.46,NP,YR,1999,,LN,,,,,ST,0.12,PB,PS,1975,, ,,,,,,
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,2,OP,D,N,, , ,FD,1.2, ,DP,TH,1979,WA,IF,,WA,IF,,FD,0.7,NP,TH,1979,SR,,,SR,,,FD,0.1,PB,PS,1979,, ,,,,,,
189,PowerSouth Energy Cooperative,56,Charles R Lowman,AL,3,OP,D,N,, , ,FD,1.2, ,DP,TH,1980,WA,IF,,WA,IF,,FD,0.7,NP,TH,1980,SR,,,SR,,,FD,0.1,PB,PS,1980,, ,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,HRSG1,OP,N,N,, , ,, , ,,,1996,,,,,,,ST,25,NM,OH,1996,,,,,,,ST,0.013,PB,OH,1996,, ,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,HRSGV1,OP,N,N,, , ,, , ,,,2002,,,,,,,FD,0.013,NP,OH,2002,,,,,,,ST,0.012,PB,OH,2002,, ,,,,,,
189,PowerSouth Energy Cooperative,533,McWilliams,AL,HRSGV2,OP,N,N,, , ,, , ,,,2002,,,,,,,FD,0.013,NP,OH,2002,,,,,,,ST,0.012,PB,OH,2002,, ,,,,,,
195,Alabama Power Co,3,Barry,AL,1,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,,2016,,,,,,
195,Alabama Power Co,3,Barry,AL,2,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,,2016,,,,,,
195,Alabama Power Co,3,Barry,AL,3,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,2000,LN,SN,,LN,SN,,ST,0.12,PB,PS,1975,,2016,,,,,,
195,Alabama Power Co,3,Barry,AL,4,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,NC,SS,WA,NC,SS,WA,FD, ,NP,OT,2000,LN,,,LN,,,ST,0.12,PB,PS,1975,,2016,,,,DSI,ACI,EK
195,Alabama Power Co,3,Barry,AL,5,OP,N,N,, , ,ST,1.8, ,DP,DA,1975,IF,WA,,IF,WA,,FD, ,NP,OT,2000,LN,SR,,LN,SR,,ST,0.12,PB,PS,1975,,2015,,,,JB,,
195,Alabama Power Co,3,Barry,AL,6A,OP,Db,Y,503-1001,12,2003,, , ,,, ,,,,,,,ST, ,NP,TH,2000,LN,SR,,LN,SR,,ST,0.011,PB,NV,2000,, ,,,,,,
195,Alabama Power Co,3,Barry,AL,6B,OP,Db,Y,503-1001,12,2003,, , ,,, ,,,,,,,ST, ,NP,TH,2000,SR,LN,,SR,LN,,ST,0.011,PB,NS,2000,, ,,,,,,
