Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID
520,Illinois Power Generating Co,861,Coffeen,01,1
520,Illinois Power Generating Co,861,Coffeen,02,2
520,Illinois Power Generating Co,6017,Newton,1,1
520,Illinois Power Generating Co,6017,Newton,2,2
528,Covanta Southeastern Connecticut Company,10646,Covanta Southeastern Connecticut Company,BLR1,GEN1
528,Covanta Southeastern Connecticut Company,10646,Covanta Southeastern Connecticut Company,BLR2,GEN1
542,Covanta Essex Company,10643,Covanta Essex Company,3,GEN1
542,Covanta Essex Company,10643,Covanta Essex Company,2,GEN1
542,Covanta Essex Company,10643,Covanta Essex Company,1,GEN1
542,Covanta Essex Company,10643,Covanta Essex Company,1,GEN2
542,Covanta Essex Company,10643,Covanta Essex Company,3,GEN2
542,Covanta Essex Company,10643,Covanta Essex Company,2,GEN2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,4,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,6,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,2,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,3,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,5,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,7,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,1,TG1
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,1,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,3,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,2,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,6,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,7,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,4,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,5,TG2
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,5,TG3
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,7,TG3
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,1,TG3
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,3,TG3
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,6,TG3
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,2,TG3
547,American Sugar Refining Inc.,54512,Domino Sugar Arabi Plant,4,TG3
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,7,7
554,City of Ames - (IA),1122,Ames Electric Services Power Plant,8,8
563,American Bituminous Power LP,10151,Grant Town Power Plant,BLR1A,GEN1
563,American Bituminous Power LP,10151,Grant Town Power Plant,BLR1B,GEN1
570,Covanta Delaware Valley LP,10746,Covanta Delaware Valley,BLR2,GEN1
570,Covanta Delaware Valley LP,10746,Covanta Delaware Valley,BLR4,GEN1
570,Covanta Delaware Valley LP,10746,Covanta Delaware Valley,BLR3,GEN1
570,Covanta Delaware Valley LP,10746,Covanta Delaware Valley,BLR1,GEN1
570,Covanta Delaware Valley LP,10746,Covanta Delaware Valley,BLR6,GEN1
570,Covanta Delaware Valley LP,10746,Covanta Delaware Valley,BLR5,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B7,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B8,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B1,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B5,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B9,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B6,GEN1
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B8,GEN3
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B6,GEN3
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B7,GEN3
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B5,GEN3
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B1,GEN3
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B9,GEN3
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B9,GEN4
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B5,GEN4
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B1,GEN4
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B8,GEN4
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B6,GEN4
623,Anheuser-Busch Inc,10430,Anheuser-Busch St Louis,B7,GEN4
641,ANP Bellingham Energy Company LLC,55211,ANP Bellingham Energy Project,U1,U1
641,ANP Bellingham Energy Company LLC,55211,ANP Bellingham Energy Project,U2,U2
656,ANP Blackstone Energy Company LLC,55212,ANP Blackstone Energy Project,U1,U1
