Utility ID,Utility Name,Plant Code,Plant Name,Boiler ID,Generator ID,Steam Plant Type
24211,Tucson Electric Power Co,126.0,H Wilson Sundt Generating Station,2,ST2,1.0
24211,Tucson Electric Power Co,126.0,H Wilson Sundt Generating Station,3,ST3,1.0
17543,South Carolina Public Service Authority,130.0,Cross,1,1,1.0
17543,South Carolina Public Service Authority,130.0,Cross,2,2,1.0
17543,South Carolina Public Service Authority,130.0,Cross,3,3,1.0
17543,South Carolina Public Service Authority,130.0,Cross,4,4,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),1,1,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),2,2,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),3,3,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),HRSG2,ST,1.0
21554,Seminole Electric Cooperative Inc,136.0,Seminole (FL),HRSG1,ST,1.0
16572,Salt River Project,141.0,Agua Fria,1,AF1,1.0
16572,Salt River Project,141.0,Agua Fria,2,AF2,1.0
16572,Salt River Project,141.0,Agua Fria,3,AF3,1.0
16572,Salt River Project,143.0,Crosscut,1,CC1,4.0
16572,Salt River Project,143.0,Crosscut,2,CC2,4.0
16572,Salt River Project,143.0,Crosscut,3,CC3,4.0
16572,Salt River Project,143.0,Crosscut,6,CC4,4.0
16572,Salt River Project,143.0,Crosscut,5,CC4,4.0
16572,Salt River Project,143.0,Crosscut,4,CC4,4.0
16572,Salt River Project,147.0,Kyrene,K-1,KY1,1.0
16572,Salt River Project,147.0,Kyrene,K-2,KY2,1.0
16572,Salt River Project,147.0,Kyrene,K-7,KY7A,1.0
796,Arizona Electric Pwr Coop Inc,160.0,Apache Station,1,ST1,1.0
796,Arizona Electric Pwr Coop Inc,160.0,Apache Station,2,ST2,1.0
796,Arizona Electric Pwr Coop Inc,160.0,Apache Station,3,ST3,1.0
7490,Grand River Dam Authority,165.0,GREC,1,1,1.0
7490,Grand River Dam Authority,165.0,GREC,2,2,1.0
7490,Grand River Dam Authority,165.0,GREC,3,3ST,1.0
814,Entergy Arkansas LLC,167.0,Cecil Lynch,2,2,4.0
814,Entergy Arkansas LLC,167.0,Cecil Lynch,3,3,4.0
814,Entergy Arkansas LLC,168.0,Hamilton Moses,1,1,4.0
814,Entergy Arkansas LLC,168.0,Hamilton Moses,2,2,4.0
814,Entergy Arkansas LLC,169.0,Harvey Couch,1,1,4.0
814,Entergy Arkansas LLC,169.0,Harvey Couch,2,2,4.0
814,Entergy Arkansas LLC,170.0,Lake Catherine,1,1,1.0
814,Entergy Arkansas LLC,170.0,Lake Catherine,2,2,1.0
814,Entergy Arkansas LLC,170.0,Lake Catherine,3,3,1.0
814,Entergy Arkansas LLC,170.0,Lake Catherine,4,4,1.0
814,Entergy Arkansas LLC,173.0,Robert E Ritchie,1,1,4.0
814,Entergy Arkansas LLC,173.0,Robert E Ritchie,2,2,4.0
807,Arkansas Electric Coop Corp,201.0,Thomas Fitzhugh,2,1,2.0
807,Arkansas Electric Coop Corp,202.0,Carl Bailey,01,1,1.0
807,Arkansas Electric Coop Corp,203.0,McClellan (AR),01,1,1.0
55951,Constellation Nuclear,204.0,Clinton Power Station,NSS1,1,3.0
9617,JEA,207.0,St Johns River Power Park,1,1,4.0
9617,JEA,207.0,St Johns River Power Park,2,2,4.0
20893,Wolf Creek Nuclear Optg Corp,210.0,Wolf Creek Generating Station,NSS1,1,3.0
14328,Pacific Gas & Electric Co.,246.0,Humboldt Bay,1,ST1,4.0
14328,Pacific Gas & Electric Co.,246.0,Humboldt Bay,2,ST2,4.0
14328,Pacific Gas & Electric Co.,247.0,Hunters Point,7,4,4.0
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,6-1,6,3.0
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,7-1,7,3.0
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,HRSG2,ST1,3.0
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,HRSG1,ST1,3.0
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,HRSG3,ST2,3.0
54802,Dynegy -Moss Landing LLC,260.0,Dynegy Moss Landing Power Plant Hybrid,HRSG4,ST2,3.0
54888,NRG Texas Power LLC,298.0,Limestone,LIM1,1,1.0
54888,NRG Texas Power LLC,298.0,Limestone,LIM2,2,1.0
14354,PacifiCorp,299.0,Blundell,1,1,4.0
14354,PacifiCorp,299.0,Blundell,2,2,4.0
14354,PacifiCorp,299.0,Blundell,3,3,4.0
22148,AES Alamitos LLC,315.0,AES Alamitos LLC,1,1,1.0
22148,AES Alamitos LLC,315.0,AES Alamitos LLC,2,2,1.0
22148,AES Alamitos LLC,315.0,AES Alamitos LLC,3,3,1.0
22148,AES Alamitos LLC,315.0,AES Alamitos LLC,4,4,1.0
22148,AES Alamitos LLC,315.0,AES Alamitos LLC,5,5,1.0
22148,AES Alamitos LLC,315.0,AES Alamitos LLC,6,6,1.0
23693,AES Huntington Beach LLC,335.0,AES Huntington Beach LLC,1,1,1.0
23693,AES Huntington Beach LLC,335.0,AES Huntington Beach LLC,2,2,1.0
23693,AES Huntington Beach LLC,335.0,AES Huntington Beach LLC,3A,3,1.0
23693,AES Huntington Beach LLC,335.0,AES Huntington Beach LLC,4A,4,1.0
63843,"Ormond Beach Power, LLC",350.0,Ormond Beach,1,1,1.0
63843,"Ormond Beach Power, LLC",350.0,Ormond Beach,2,2,1.0
17609,Southern California Edison Co,358.0,Mountainview Generating Station,MV3B,MV3C,1.0
17609,Southern California Edison Co,358.0,Mountainview Generating Station,MV3A,MV3C,1.0
17609,Southern California Edison Co,358.0,Mountainview Generating Station,MV4B,MV4C,1.0
17609,Southern California Edison Co,358.0,Mountainview Generating Station,MV4A,MV4C,1.0
17609,Southern California Edison Co,360.0,San Onofre Nuclear Generating Station,NSS2,2,4.0
17609,Southern California Edison Co,360.0,San Onofre Nuclear Generating Station,NSS3,3,4.0
20160,Energy Northwest,371.0,Columbia Generating Station,NSS2,2,3.0
7294,City of Glendale - (CA),377.0,Grayson,8A,1,1.0
7294,City of Glendale - (CA),377.0,Grayson,8BC,1,1.0
7294,City of Glendale - (CA),377.0,Grayson,8A,2,1.0
7294,City of Glendale - (CA),377.0,Grayson,8BC,2,1.0
7294,City of Glendale - (CA),377.0,Grayson,3,3,1.0
7294,City of Glendale - (CA),377.0,Grayson,4,4,1.0
7294,City of Glendale - (CA),377.0,Grayson,5,5,1.0
12384,Midwest Generations EME LLC,384.0,Joliet 29,72,7,1.0
12384,Midwest Generations EME LLC,384.0,Joliet 29,71,7,1.0
12384,Midwest Generations EME LLC,384.0,Joliet 29,81,8,1.0
12384,Midwest Generations EME LLC,384.0,Joliet 29,82,8,1.0
9216,Imperial Irrigation District,389.0,El Centro Hybrid,UNIT 2,2,1.0
9216,Imperial Irrigation District,389.0,El Centro Hybrid,3,3,1.0
9216,Imperial Irrigation District,389.0,El Centro Hybrid,HRSG31,30,1.0
9216,Imperial Irrigation District,389.0,El Centro Hybrid,HRSG32,30,1.0
9216,Imperial Irrigation District,389.0,El Centro Hybrid,4,4,1.0
11208,Los Angeles Department of Water & Power,399.0,Harbor,10B,5,4.0
11208,Los Angeles Department of Water & Power,399.0,Harbor,10A,5,4.0
11208,Los Angeles Department of Water & Power,400.0,Haynes,1,1,1.0
11208,Los Angeles Department of Water & Power,400.0,Haynes,2,2,1.0
11208,Los Angeles Department of Water & Power,400.0,Haynes,5,5,1.0
11208,Los Angeles Department of Water & Power,400.0,Haynes,6,6,1.0
11208,Los Angeles Department of Water & Power,400.0,Haynes,HRSG9,8,1.0
11208,Los Angeles Department of Water & Power,400.0,Haynes,HRSG10,8,1.0
11208,Los Angeles Department of Water & Power,404.0,Scattergood,1,1,1.0
11208,Los Angeles Department of Water & Power,404.0,Scattergood,2,2,1.0
11208,Los Angeles Department of Water & Power,404.0,Scattergood,3,3,1.0
11208,Los Angeles Department of Water & Power,404.0,Scattergood,4,5,1.0
11208,Los Angeles Department of Water & Power,408.0,Valley (CA),7,8,1.0
11208,Los Angeles Department of Water & Power,408.0,Valley (CA),6,8,1.0
14534,City of Pasadena - (CA),420.0,Broadway (CA),B3,B3,4.0
56146,"Black Hills Colorado Electric, LLC",460.0,Pueblo,41,5,4.0
56146,"Black Hills Colorado Electric, LLC",460.0,Pueblo,49,6,4.0
56146,"Black Hills Colorado Electric, LLC",462.0,W N Clark,55,1,4.0
56146,"Black Hills Colorado Electric, LLC",462.0,W N Clark,59,2,4.0
15466,Public Service Co of Colorado,465.0,Arapahoe,3,3,4.0
15466,Public Service Co of Colorado,465.0,Arapahoe,4,4,4.0
15466,Public Service Co of Colorado,468.0,Cameo,1,1,4.0
15466,Public Service Co of Colorado,468.0,Cameo,2,2,4.0
15466,Public Service Co of Colorado,469.0,Cherokee,1,1,1.0
15466,Public Service Co of Colorado,469.0,Cherokee,2,2,1.0
15466,Public Service Co of Colorado,469.0,Cherokee,3,3,1.0
15466,Public Service Co of Colorado,469.0,Cherokee,4,4,1.0
15466,Public Service Co of Colorado,469.0,Cherokee,HRSG1,7,1.0
15466,Public Service Co of Colorado,469.0,Cherokee,HRSG2,7,1.0
15466,Public Service Co of Colorado,470.0,Comanche (CO),1,1,1.0
15466,Public Service Co of Colorado,470.0,Comanche (CO),2,2,1.0
15466,Public Service Co of Colorado,470.0,Comanche (CO),3,3,1.0
15466,Public Service Co of Colorado,477.0,Valmont,5,5,4.0
15466,Public Service Co of Colorado,478.0,Zuni,2,1,4.0
15466,Public Service Co of Colorado,478.0,Zuni,1,1,4.0
15466,Public Service Co of Colorado,478.0,Zuni,2,2,4.0
15466,Public Service Co of Colorado,478.0,Zuni,3,2,4.0
15466,Public Service Co of Colorado,478.0,Zuni,1,2,4.0
3989,City of Colorado Springs - (CO),492.0,South Plant (CO),5,5,4.0
3989,City of Colorado Springs - (CO),492.0,South Plant (CO),6,6,4.0
3989,City of Colorado Springs - (CO),492.0,South Plant (CO),7,7,4.0
3989,City of Colorado Springs - (CO),493.0,George Birdsall,1,1,2.0
3989,City of Colorado Springs - (CO),493.0,George Birdsall,2,2,2.0
3989,City of Colorado Springs - (CO),493.0,George Birdsall,3,3,2.0
10633,City of Lamar - (CO),508.0,Lamar Plant,4,2,4.0
10633,City of Lamar - (CO),508.0,Lamar Plant,4,3,4.0
10633,City of Lamar - (CO),508.0,Lamar Plant,4,4,4.0
10633,City of Lamar - (CO),508.0,Lamar Plant,4,6,4.0
15466,Public Service Co of Colorado,525.0,Hayden,H1,1,1.0
15466,Public Service Co of Colorado,525.0,Hayden,H2,2,1.0
30151,"Tri-State G & T Assn, Inc",527.0,Nucla,1,1,4.0
30151,"Tri-State G & T Assn, Inc",527.0,Nucla,1,2,4.0
30151,"Tri-State G & T Assn, Inc",527.0,Nucla,1,3,4.0
30151,"Tri-State G & T Assn, Inc",527.0,Nucla,1,ST4,4.0
189,PowerSouth Energy Cooperative,533.0,McWilliams,HRSG1,1,1.0
189,PowerSouth Energy Cooperative,533.0,McWilliams,HRSG1,2,1.0
189,PowerSouth Energy Cooperative,533.0,McWilliams,HRSG1,3,1.0
189,PowerSouth Energy Cooperative,533.0,McWilliams,HRSGV2,VAN3,1.0
189,PowerSouth Energy Cooperative,533.0,McWilliams,HRSGV1,VAN3,1.0
22350,Devon Power LLC,544.0,Devon Station,7,7,4.0
22350,Devon Power LLC,544.0,Devon Station,8,8,4.0
22380,Montville Power LLC,546.0,Montville Station,5,5,1.0
22380,Montville Power LLC,546.0,Montville Station,6,6,1.0
