Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CA,GEN1,OP,ACE Power Partners,,,,,34436,0.7
52,ACE Cogeneration Co,10002,ACE Cogeneration Facility,CA,GEN1,OP,DCO Energy LLC,5429 Harding Highway,Mays Landing,NJ,8330,56996,0.3
156,AES Deepwater Inc,10670,AES Deepwater,TX,REDST,RE,AES Corp,1001 North 19th Street,Arlington,VA,22209,15403,1
195,Alabama Power Co,10,Greene County,AL,1,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.6
195,Alabama Power Co,10,Greene County,AL,1,OP,Mississippi Power Co,2992 West Beach Boulevard,Gulfport,MS,39501,12686,0.4
195,Alabama Power Co,10,Greene County,AL,2,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.6
195,Alabama Power Co,10,Greene County,AL,2,OP,Mississippi Power Co,2992 West Beach Boulevard,Gulfport,MS,39501,12686,0.4
195,Alabama Power Co,26,E C Gaston,AL,1,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,1,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,2,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,2,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,3,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,3,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,GT4,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,GT4,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,26,E C Gaston,AL,ST4,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.5
195,Alabama Power Co,26,E C Gaston,AL,ST4,OP,Georgia Power Co,P O Box 4545,Atlanta,GA,30302,7140,0.5
195,Alabama Power Co,6002,James H Miller Jr,AL,1,OP,PowerSouth Energy Cooperative,2027 E Three Notch St,Andalusia,AL,36421,189,0.08
195,Alabama Power Co,6002,James H Miller Jr,AL,1,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.92
195,Alabama Power Co,6002,James H Miller Jr,AL,2,OP,PowerSouth Energy Cooperative,2027 E Three Notch St,Andalusia,AL,36421,189,0.08
195,Alabama Power Co,6002,James H Miller Jr,AL,2,OP,Alabama Power Co,P O Box 2641600 North 18th Street,Birmingham,AL,35291,195,0.92
213,Alaska Electric Light&Power Co,78,Snettisham,AK,1,OP,Alaska Industrial Dev&Exp Auth,,,AK,,253,1
213,Alaska Electric Light&Power Co,78,Snettisham,AK,2,OP,Alaska Industrial Dev&Exp Auth,,,AK,,253,1
213,Alaska Electric Light&Power Co,78,Snettisham,AK,3,OP,Alaska Industrial Dev&Exp Auth,,,AK,,253,1
219,Alaska Power and Telephone Co,59037,Reynolds Creek,AK,GEN 1,T,Alaska Power and Telephone Co,PO Box 3222,Pt. Townsend,WA,98368,219,0.5
219,Alaska Power and Telephone Co,59037,Reynolds Creek,AK,GEN 1,T,Haida Corporation,PO Box 89,Hydaburg,AK,99222,59201,0.5
261,AGC Division of APG Inc,6705,Warrick,IN,4,OP,AGC Division of APG Inc,201 Isabella Street 6NE17,Pittsburgh,PA,15212,261,0.5
261,AGC Division of APG Inc,6705,Warrick,IN,4,OP,Southern Indiana Gas & Elec Co,One Vectren Square,Evansville,IN,47708,17633,0.5
