Utility ID,Utility Name,Plant Code,Plant Name,State,Generator ID,Status,Owner Name,Owner Street Address,Owner City,Owner State,Owner Zip,Ownership ID,Percent Owned
56990,NJR Clean Energy Ventures Corporation,62306,IFF Union Beach Project,NJ,IFFUB,OP,NJR Clean Energy Ventures III Corporation,1415 Wyckoff Road,Wall,NJ,7719,64680,1.0
61821,"Northstar Macy's Maryland 2015, LLC",62323,Macy's MD Joppa Solar Project,MD,MMDJ,OP,8point3 Operating Company LLC,77 Rio Robles,San Jose,CA,95134,60024,1.0
58468,Dominion Renewable Energy,62346,Trask East Solar,SC,83,OP,Dominion Energy Inc.,120 Tredegar St.,Richmond,VA,23219,5248,1.0
58468,Dominion Renewable Energy,62353,Yemassee Solar,SC,93,OP,Dominion Energy Inc.,120 Tredegar St.,Richmond,VA,23219,5248,1.0
61890,"Nobles 2 Power Partners, LLC",62364,Nobles 2 Wind Project,MN,WT1,OP,"Tenaska Nobles 2 Holdings, LLC,",14302 FNB Parkway,Omaha,NE,68154,61992,0.51
61890,"Nobles 2 Power Partners, LLC",62364,Nobles 2 Wind Project,MN,WT1,OP,"ALLETE South Wind, LLC",14302 FNB Parkway,Omaha,NE,68154,61993,0.49
61911,"Dougherty County Solar, LLC",62375,"Dougherty County Solar, LLC",GA,PV1,OP,"Quitman Solar, LLC",700 Universe Blvd,Juno Beach,FL,33408,61910,1.0
61980,Valta Energy,62378,CFW Solar X LLC - Vaughn,CA,VSCFW,OP,CFW Solar X LLC,24941 Dana Point Harbor Drive,Dana Point,CA,92629,61945,1.0
7601,Green Mountain Power Corp,62381,GMP Solar/Storage-Milton Hybrid,VT,GMPBM,OP,GMP VT Microgrid LLC,163 Acorn Lane,Colchester,VT,5446,61908,1.0
7601,Green Mountain Power Corp,62381,GMP Solar/Storage-Milton Hybrid,VT,GMPSM,OP,GMP VT Microgrid LLC,163 Acorn Lane,Colchester,VT,5446,61908,1.0
7601,Green Mountain Power Corp,62382,GMP Solar/Storage-Ferrisburgh Hybrid,VT,GMPBF,OP,GMP VT Microgrid LLC,163 Acorn Lane,Colchester,VT,5446,61908,1.0
