Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Number of Turbines,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
55868,Noble Wind Operations LLC,56618,Noble Clinton Windpark LLC,NY,Clinton,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.5,100.5,100.5,5,2008,67,GE,1.5 SLE,19,2,262.0,2006-AEA-1811-OE
55868,Noble Wind Operations LLC,56619,Noble Ellenburg Windpark LLC,NY,Clinton,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,81.0,81.0,81.0,5,2008,54,GE,1.5 SLE,19,2,262.0,2006-AEA-1654-OE
55868,Noble Wind Operations LLC,56620,Noble Bliss Windpark LLC,NY,Wyoming,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.5,100.5,100.5,5,2008,67,GE,1.5 SLE,19,2,262.0,2006-AEA-879-OE
59883,NRG Energy Gas & Wind Holdings Inc,56621,Sleeping Bear LLC,OK,Harper,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,94.5,94.5,94.5,10,2007,45,Suzlon,S88-2100,19,2,262.4,40-003415
15399,Avangrid Renewables Inc,56622,Providence Heights Wind LLC,IL,Bureau,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,72.0,72.0,72.0,8,2008,36,Gamesa,G87-2.0,17,4,255.0,
55880,Telocaset Wind Power Partners,56623,Elkhorn Valley Wind Farm,OR,UNION,EH1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.7,100.7,100.7,12,2007,61,Vestas,V82-1.65,17,2,240.0,2006ANM402A-0E
57158,Ewington Wind Project,56624,BC Energy LLC,MN,Jackson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,4.0,4.0,4.0,1,2008,2,Suzlon,S88-2100,17.8,2,262.4,27-002837
57158,Ewington Wind Project,56625,KC Energy LLC,MN,Jackson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,4.0,4.0,4.0,1,2008,2,Suzlon,S88-2100,17.8,2,262.4,27-020052
57158,Ewington Wind Project,56626,K&D Energy LLC,MN,Jackson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,4.0,4.0,4.0,1,2008,2,Suzlon,S88-2100,17.8,2,262.4,27-020063
57158,Ewington Wind Project,56627,KSS Turbines LLC,MN,Jackson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,4.0,4.0,4.0,1,2008,2,Suzlon,S88-2100,17.8,2,262.4,27-002838
56805,Exelon Wind LLC,56628,Prairie Wind Power LLC,MN,Jackson,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,4.0,4.0,4.0,1,2008,2,Suzlon,S88-2100,17.8,2,262.4,27-020138
12647,"ALLETE, Inc.",56630,Taconite Ridge 1 Wind Energy Center,MN,St Louis,1,OP,Onshore Wind Turbine,WT,Electric Utility,1,25.0,25.0,25.0,5,2008,10,Clipper,Liberty C96,20,2,262.4,27-020518
59155,"First Wind O&M, LLC",56633,Dutch Hill Wind Project,NY,Steuben,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,37.5,37.5,37.5,1,2009,15,Clipper,Liberty C96,19,2,262.4,36-020464
59155,"First Wind O&M, LLC",56634,Cohocton Wind Project,NY,Steuben,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,87.5,87.5,87.5,1,2009,35,Clipper,Liberty C96,19,2,262.4,36-020513
55873,Harvest I,56635,Harvest Windfarm LLC,MI,Huron,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,52.8,52.8,52.8,1,2008,32,Vestas,V82-1.65,15.6,2,262.4,26-003378
55891,Hot Springs,56636,Hot Springs Windfarm LLC,ID,Elmore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,21.0,21.0,21.0,5,2008,10,Suzlon,S88-2100,14.7,2,262.4,16-020012
55890,Bennett Creek Windfarm LLC,56637,Bennett Creek Windfarm LLC,ID,Elmore,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,21.0,21.0,21.0,7,2008,10,Suzlon,S88-2100,14.7,2,262.4,16-020002
19740,AES Wind Generation Inc,56638,Buffalo Gap 3 Wind Farm,TX,Nolan,GEN1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,170.2,170.2,170.2,8,2008,74,Siemens,SWT-1.3-62,17,1,262.0,48-020839
55931,Orion Energy Group LLC,56640,Camp Grove Wind Farm,IL,STARK,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,150.0,150.0,150.0,12,2007,100,GE,1.5 SLE,20,2,262.0,17-020036
49893,Invenergy Services LLC,56644,Stanton Wind Energy LLC,TX,Martin,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,120.0,120.0,120.0,2,2008,80,GE,1.5 SLE,17.4,2,263.0,48-020568
55901,Osceola Windpower LLC,56645,Osceola Windpower LLC,IA,Osceola,CL25,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,100.0,100.0,100.0,7,2008,40,Clipper,Liberty C96,19,2,262.4,19-020069
5906,EDF Renewable Services Inc,56646,Chandler Hills Wind Farm,MN,Murray,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,2.0,2.0,2.0,1,1999,3,Vestas,V47-660,22.4,2,213.3,
56484,Butler Ridge Wind Energy Center,56647,Butler Ridge,WI,Dodge,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,54.0,54.0,54.0,2,2009,36,GE,1.5 XLE,16.8,3,262.5,55-020165
