Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Predominant Turbine Manufacturer,Predominant Turbine Model Number,Design Wind Speed (mph),Wind Quality Class,Turbine Hub Height (Feet),FAA Obstacle Number
50123,Infigen Asset Management LLC,56297,Crescent Ridge,IL,Bureau,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,53.0,53.0,53.0,12,2005,NEG-Micon,NM82,21,2,256,unknown
50123,Infigen Asset Management LLC,56299,Wind Park Bear Creek,PA,Luzerne,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,24.0,24.0,24.0,3,2006,Gamesa,G87-2.0,19,2,256,unknown
50123,Infigen Asset Management LLC,56300,Jersey-Atlantic Wind Farm,NJ,Atlantic,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,7.5,7.5,7.5,3,2006,GE,1.5sle,19,2,262,unknown
50123,Infigen Asset Management LLC,56311,Sweetwater Wind 3 LLC,TX,Nolan,SW3,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,135.0,135.0,135.0,12,2005,GE,1.5s/sle,19,2,262,unknown
50123,Infigen Asset Management LLC,56336,Aragonne Wind LLC,NM,Guadalupe,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,90.0,90.0,90.0,12,2006,Mitsubishi,MWT-1000,17.3,2,226,unknown
50123,Infigen Asset Management LLC,56337,Sweetwater Wind 4 LLC,TX,Nolan,SW4,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,241.0,241.0,241.0,5,2007,Mitsubishi,MWT-1000,16.5,2,230,unknown
50123,Infigen Asset Management LLC,56371,Cedar Creek Wind,CO,Weld,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,300.5,300.0,300.0,11,2007,Mitsubishi,MWT-1000,16.6,2,226,unknown
50123,Infigen Asset Management LLC,56372,Sweetwater Wind 5,TX,Nolan,SW5,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,80.5,80.5,80.5,12,2007,Siemens,SWT-2.3-82,16.5,2,263,unknown
50123,Infigen Asset Management LLC,56446,Buena Vista Energy LLC,CA,Contra Costa,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,38.0,38.0,38.0,12,2006,Mitsubishi,MWT-1000,13.6,2,197,unknown
50123,Infigen Asset Management LLC,56450,GSG LLC,IL,Lee,1,OP,Onshore Wind Turbine,WT,IPP Non-CHP,2,80.0,80.0,80.0,6,2007,Gamesa,G87-2.0,19,2,256,unknown
